grid,peak,average
1,975.9,513.8432432432429
2,911.0,472.80270270270273
3,975.9,513.8432432432429
4,990.7,471.31891891891917
5,968.0,550.148648648649
6,990.7,471.31891891891917
7,950.5,583.1621621621623
8,966.7,503.0945945945942
9,962.9,415.8459459459461
10,965.6,437.94324324324344
11,938.8,464.75675675675683
12,810.4,359.3378378378376
13,961.0,408.5189189189187
14,968.2,414.68378378378384
15,967.3,509.5297297297294
16,894.0,457.4405405405406
17,963.1,566.378378378378
18,986.9,596.1810810810814
19,971.3,482.8189189189188
20,999.8,442.8108108108109
21,981.7,530.9837837837837
22,959.0,491.82162162162166
23,978.6,470.96756756756764
24,969.3,521.9243243243243
25,985.2,456.94864864864843
26,972.0,464.1918918918918
27,876.4,269.5432432432431
28,950.1,460.58378378378364
29,975.4,765.7459459459457
30,1006.8,630.1351351351348
31,940.5,614.3270270270268
32,1014.5,594.8648648648646
33,986.5,892.6081081081084
34,990.8,630.0351351351351
35,972.4,533.2297297297301
36,990.5,608.8810810810814
37,982.9,529.0432432432432
38,927.1,438.81351351351384
39,976.8,676.6999999999997
40,575.3,343.7432432432431
41,939.9,415.264864864865
42,940.7,411.5756756756755
43,977.5,406.3054054054056
44,949.3,390.97837837837835
45,898.6,413.6783783783782
46,809.1,435.3027027027024
47,982.2,427.8810810810814
48,876.1,426.7729729729732
49,969.3,521.9243243243243
50,927.1,438.81351351351384
