grid,peak,average
1,54.3438,53.726375675675726
2,111.4062,81.03040270270267
3,116.0938,114.46539459459463
4,118.8438,118.83618378378382
5,123.6406,122.82304324324328
6,124.125,124.11825405405405
7,126.7031,126.0029432432433
8,127.5,127.48945945945948
9,127.5156,127.51222702702705
10,127.5312,127.52698378378378
11,128.1562,128.14608108108106
12,129.3125,129.3125
13,129.3125,129.3125
14,131.8438,131.1605081081081
15,131.8438,131.84380000000002
16,132.0312,132.0139135135135
17,132.4375,132.4375
18,132.4375,132.4375
19,132.4375,132.4375
20,132.4375,132.4375
21,132.4375,132.4375
22,132.4375,129.00249729729728
23,118.6875,117.57644054054055
24,125.6875,123.96411081081082
25,125.6875,123.79050270270268
26,123.6562,119.87918378378374
27,122.5469,121.75719729729725
28,123.125,123.00000540540542
29,123.125,122.20061081081079
30,120.2812,119.04809729729725
31,122.7969,122.11698108108104
32,123.0625,123.00928378378379
33,123.0625,123.0625
34,123.0625,113.17607837837845
35,113.0312,112.19928108108101
36,114.4688,114.16727027027032
37,118.0,117.25084324324322
38,118.125,118.125
39,118.5,118.39864864864865
40,119.2656,119.10006486486492
41,121.8125,121.13260810810812
42,124.3438,123.66388108108109
43,125.5625,125.23312162162162
44,125.9375,125.87330540540539
45,128.1719,127.64908918918914
46,128.1719,128.1719
47,128.1719,128.1719
48,128.1719,128.1719
49,128.7656,128.6051405405406
50,128.7969,128.7884405405405
51,129.7812,129.5616216216216
52,129.7812,129.78119999999998
53,129.7812,129.78119999999998
54,129.7812,129.78119999999998
55,134.3125,133.60725675675675
56,136.25,135.72635135135135
57,136.25,136.25
58,136.5,136.5
59,136.5,136.40242702702702
60,136.3906,135.10850540540542
61,134.9531,134.9531
62,134.9531,134.93918648648648
63,134.9375,134.83824054054054
64,134.8438,134.8438
65,134.8438,134.8438
66,134.8438,134.8438
67,134.8438,134.8438
68,135.8125,135.5506891891892
69,135.8906,135.8906
70,135.9844,132.5396945945946
71,133.75,133.5245027027027
72,133.75,128.82604324324322
73,127.5156,127.00039459459462
74,128.6719,128.42188918918916
75,128.7188,128.70781081081083
76,128.7188,121.4501837837838
77,118.375,114.69932432432432
78,118.5938,117.57182702702707
79,121.0625,120.45608378378378
80,123.1562,122.59033513513509
81,123.6875,123.5439054054054
82,124.6094,124.36108108108105
83,127.2812,126.55909189189188
