grid,peak,average
1,78.6,67.37297297297303
2,71.6,70.28378378378373
3,104.5,95.89189189189196
4,105.9,101.05945945945939
5,108.0,97.4540540540541
6,96.8,77.47567567567562
7,106.4,102.5
8,104.1,99.29999999999998
9,105.7,101.91891891891896
10,98.7,74.50270270270265
11,110.6,108.88108108108102
12,110.6,89.22972972972968
13,102.4,98.90810810810815
14,68.6,65.1756756756757
15,106.2,105.03783783783776
16,109.4,104.4486486486487
17,98.1,59.13783783783785
18,70.6,68.56486486486482
19,107.0,99.08648648648641
20,101.9,68.93783783783782
21,103.3,89.35135135135141
22,68.8,66.65945945945946
23,115.3,113.95405405405413
24,115.3,114.43243243243236
25,118.5,117.35945945945946
26,117.8,114.08918918918924
27,115.9,115.2513513513514
28,118.5,116.62432432432436
29,114.2,113.77297297297291
30,113.9,113.44054054054062
31,116.3,115.7162162162163
32,117.6,115.97567567567563
33,114.0,113.02162162162162
34,116.1,113.22702702702709
35,109.2,107.11351351351344
36,109.2,106.74594594594599
37,108.1,107.78108108108108
38,115.2,112.90000000000008
39,111.4,108.96756756756763
40,78.6,77.70270270270265
41,115.7,114.44054054054047
42,115.7,113.52162162162155
43,114.4,89.52702702702696
44,77.0,75.92702702702704
45,117.2,113.50270270270263
46,112.2,110.67297297297304
47,115.2,113.74054054054048
48,113.9,109.39999999999999
49,110.3,86.36756756756763
50,67.9,65.69729729729734
51,108.9,107.05135135135143
52,112.8,111.32972972972979
53,113.4,112.50270270270262
54,115.6,114.40540540540536
55,115.5,90.50540540540547
56,92.0,71.38108108108112
57,99.9,97.58378378378386
58,105.9,103.5513513513514
59,111.4,109.76216216216223
60,111.4,110.52702702702703
61,112.3,109.40000000000006
62,108.9,108.23513513513514
63,113.3,112.04594594594602
64,117.0,115.85945945945946
65,117.7,116.98648648648641
66,117.4,116.37837837837837
67,116.5,115.00810810810813
68,115.4,112.5945945945946
69,110.5,109.83783783783785
70,112.2,111.74054054054045
71,112.3,106.75405405405402
72,106.7,105.78648648648641
73,107.0,103.32972972972979
74,71.0,68.91351351351352
75,110.4,109.28918918918924
76,113.3,112.01351351351352
77,113.2,112.9675675675675
78,113.8,113.07027027027036
79,117.0,115.92432432432435
80,110.3,110.14054054054063
81,110.4,108.97027027027026
82,109.5,107.97297297297305
83,112.5,111.5054054054054
84,114.5,113.70270270270271
85,117.3,109.59729729729735
86,107.4,104.23513513513507
87,108.4,107.70810810810818
88,111.0,110.2
89,111.8,111.17297297297304
90,111.4,110.95135135135142
91,109.5,103.3702702702702
92,106.2,105.42162162162154
93,111.2,110.54594594594587
94,114.4,113.49189189189197
95,117.1,116.2513513513513
96,115.8,115.57837837837846
97,115.9,99.01891891891894
98,102.1,88.33783783783784
99,99.5,97.5027027027027
100,106.4,104.63783783783788
