grid,peak,average
1,99.2,95.8805555555555
2,94.3,63.524324324324326
3,103.8,101.0324324324325
4,102.0,99.88108108108102
5,102.3,99.43783783783776
6,98.8,57.75945945945944
7,96.5,40.98918918918921
8,79.5,33.30810810810811
9,85.7,33.297297297297284
10,85.3,38.964864864864886
11,83.9,49.4324324324324
12,87.6,53.575675675675626
13,88.8,38.09189189189192
14,83.4,50.286486486486524
15,88.5,43.62972972972977
16,84.9,44.47297297297299
17,81.8,56.38918918918922
18,86.9,52.83243243243244
19,83.3,49.15675675675676
20,89.0,64.28378378378379
21,88.3,52.12702702702705
22,92.5,85.79729729729725
23,88.5,49.245945945945955
24,85.0,36.72432432432432
25,85.7,81.15945945945951
26,87.9,81.03243243243247
27,89.6,87.37567567567562
28,91.3,50.759459459459485
29,87.1,80.17837837837843
30,88.1,57.20270270270275
31,94.6,92.0432432432433
