grid,peak,average
1,171.625,145.8462838709677
2,268.3438,223.06554516129017
3,276.375,223.93748064516126
4,270.375,229.02721612903227
5,272.6406,230.1456580645161
6,260.8125,211.55296129032251
7,262.9062,218.9370096774194
8,266.5625,216.20564838709674
9,242.7344,205.06857741935477
10,246.2031,116.96721290322576
11,266.0156,212.40825483870958
12,245.4219,131.86943870967738
13,248.5312,135.32561290322573
14,249.2344,147.5443322580645
15,271.7656,222.9128193548388
16,252.2031,213.45261935483865
17,256.8438,227.9405032258065
18,271.2812,228.00703548387108
19,278.9375,236.1935483870967
20,250.75,136.9244064516128
21,269.5781,228.88909677419352
22,258.375,150.85834838709673
23,269.5938,222.32714193548378
24,266.5938,221.85938387096763
25,260.0156,151.35684838709676
26,260.4062,218.31353548387088
27,253.3125,210.93399032258068
28,268.2656,260.1995677419355
29,269.4062,238.56500322580655
30,258.3281,229.98487741935483
31,266.0938,225.9591999999999
32,269.0156,236.04989032258058
33,268.5156,218.86087419354837
34,262.9375,221.50958387096782
35,268.1875,222.11844516129034
36,254.9375,149.50303548387095
37,259.5,200.79333225806445
38,259.7344,121.48085483870963
39,256.8281,125.6663096774194
40,255.9062,83.48386774193551
41,253.2656,123.3936677419355
42,254.1875,99.630070967742
43,252.9062,125.10583548387095
44,256.8594,81.72985806451611
45,247.7656,122.08567419354846
46,247.8125,121.88106129032253
47,251.7188,119.7469806451613
48,258.2969,127.90020967741935
49,251.7969,161.4193580645162
50,252.0781,125.60584193548394
