grid,peak,average
1,69.9,61.65806451612903
2,98.4,87.19032258064517
3,98.5,85.15161290322577
4,106.2,95.06451612903226
5,100.4,84.78387096774195
6,104.4,88.79032258064521
7,98.8,86.01935483870973
8,97.7,83.82903225806454
9,96.7,80.94516129032257
10,83.4,38.83548387096774
11,84.9,40.993548387096766
12,95.4,44.00967741935483
13,91.8,51.787096774193564
14,91.4,78.87741935483871
15,88.1,71.64838709677419
16,89.7,77.03225806451616
17,87.6,72.84193548387098
18,86.1,69.47419354838706
19,91.2,79.32580645161289
20,84.7,46.20967741935482
21,93.2,73.25161290322583
22,94.8,83.54193548387099
23,91.2,70.83225806451614
24,90.1,76.18064516129031
25,92.3,80.52903225806452
26,87.9,72.40967741935488
27,84.6,69.73870967741931
28,85.0,42.33548387096774
29,94.8,77.86129032258059
30,93.6,78.21290322580641
31,90.8,55.241935483870975
32,88.6,69.39032258064516
33,89.1,76.758064516129
34,90.5,80.89999999999999
35,88.9,76.441935483871
36,89.7,75.63870967741934
37,87.1,75.17419354838705
38,93.3,80.96451612903223
39,91.0,52.296774193548394
40,93.4,79.71612903225811
41,88.2,54.364516129032275
42,86.9,45.71935483870969
43,92.8,82.49032258064514
44,90.7,88.16129032258064
45,90.5,75.75483870967743
46,88.4,79.17419354838712
47,97.0,93.91612903225808
48,97.0,87.79677419354843
49,97.7,87.05483870967741
50,93.2,80.69677419354839
