grid,peak,average
1,67.8,56.81290322580647
2,89.3,85.74516129032261
3,93.1,75.20322580645164
4,90.3,41.00322580645163
5,90.1,40.00322580645162
6,89.7,73.00645161290322
7,88.9,41.267741935483855
8,87.3,72.65806451612903
9,85.5,68.94838709677416
10,90.7,89.18709677419352
11,92.2,79.16774193548386
12,92.2,75.20645161290322
13,95.8,79.64516129032256
14,96.5,79.32258064516131
15,89.5,74.51612903225808
16,89.8,78.94516129032257
17,87.2,47.20322580645163
18,87.1,74.05806451612901
19,86.5,71.78387096774193
20,87.4,72.60967741935482
21,96.9,81.70000000000006
22,92.5,47.14838709677422
23,89.9,47.51290322580645
24,88.5,72.82903225806454
25,87.7,36.92258064516129
26,90.5,88.22258064516129
27,87.6,47.22903225806453
28,89.0,76.28387096774195
29,88.8,75.58709677419354
30,97.2,79.69032258064514
31,93.6,80.83225806451613
32,91.6,78.37096774193552
33,88.7,70.34838709677423
34,92.1,89.02258064516124
35,90.3,76.45161290322581
36,88.3,86.04516129032257
37,89.7,57.558064516129015
38,98.1,80.87096774193547
39,93.3,92.12258064516132
40,98.2,82.37741935483871
41,94.3,77.41612903225807
42,86.5,76.24193548387102
43,89.8,77.2967741935484
44,90.9,80.18387096774197
45,89.4,76.23870967741938
46,87.6,72.08064516129033
47,97.7,84.78709677419354
48,94.2,83.53870967741933
49,94.8,88.06774193548387
50,94.7,81.56774193548387
